Invoice No,Date,Channel,Product Name,SKU,Type,Size (ml),Quantity,Unit Price (৳),Total (৳),Payment Status,Notes
INV-0160,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0185,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0175,2026-06-27,Fair3,Good Girl,GooGir,roll-on,3.5,1,150.00,150.00,paid,
INV-0189,2026-06-27,Fair4,victoriya secret,VicSec,roll-on,3.5,1,180.00,180.00,paid,
INV-0173,2026-06-27,Fair3,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0183,2026-06-27,Fair3,Chocolate,CoCo,roll-on,3.5,1,150.00,150.00,paid,
INV-0171,2026-06-27,Fair3,kacha beli,KacBel,roll-on,3.5,1,120.00,120.00,paid,
INV-0164,2026-06-27,Fair3,Dior Sauvage,DioSau,roll-on,6,1,270.00,270.00,paid,
INV-0169,2026-06-27,Fair3,kacha beli Spray,KacBel_SP,spray,6,1,280.00,280.00,paid,
INV-0181,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0167,2026-06-27,Fair3,Dunhil desire,DunDes,roll-on,3.5,1,120.00,120.00,paid,
INV-0187,2026-06-27,Fair3,SRK Spray,SR_SP,spray,6,1,400.00,400.00,paid,
INV-0165,2026-06-27,Fair3,Gucci Flora,GucFla,roll-on,3.5,1,150.00,150.00,paid,
INV-0179,2026-06-27,Fair3,Armanis.w.y,ArmWy,roll-on,3.5,1,120.00,120.00,paid,
INV-0161,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0163,2026-06-27,Fair3,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0177,2026-06-27,Fair3,Chanel chance,ChaCha,roll-on,3.5,1,150.00,150.00,paid,
INV-0190,2026-06-27,Fair4,Dunhil desire Spray,DunDes_SP,spray,6,1,300.00,300.00,paid,
INV-0128,2026-06-27,Fair3,Chanel chance,ChaCha,roll-on,3.5,1,150.00,150.00,paid,
INV-0186,2026-06-27,Fair3,Dior Sauvage Spray,DioSau_SP,spray,6,1,320.00,320.00,paid,
INV-0178,2026-06-27,Fair3,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0162,2026-06-27,Fair3,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0141,2026-06-27,Fair3,Vanila Spray,Vanil_SP,spray,6,1,300.00,300.00,paid,
INV-0137,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0149,2026-06-27,Fair3,Dunhil desire,DunDes,roll-on,3.5,1,120.00,120.00,paid,
INV-0143,2026-06-27,Fair3,Fantasy,Fant,roll-on,3.5,1,120.00,120.00,paid,
INV-0133,2026-06-27,Fair3,victoriya secret,VicSec,roll-on,3.5,1,150.00,150.00,paid,
INV-0151,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0139,2026-06-27,Fair3,LOST Cherry Spray,LostChe_SP,spray,6,1,300.00,300.00,paid,
INV-0155,2026-06-27,Fair3,Vanila,Vanil,roll-on,3.5,1,130.00,130.00,paid,
INV-0135,2026-06-27,Fair3,Gucci Flora,GucFla,roll-on,3.5,1,150.00,150.00,paid,
INV-0147,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0253,2026-06-27,August,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0131,2026-06-27,Fair3,Chanel chance,ChaCha,roll-on,3.5,1,150.00,150.00,paid,
INV-0152,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0142,2026-06-27,Fair3,Good Girl,GooGir,roll-on,3.5,1,150.00,150.00,paid,
INV-0156,2026-06-27,Fair3,Davidoff Cool Water,DavCoo,roll-on,3.5,1,140.00,140.00,paid,
INV-0140,2026-06-27,Fair3,LOST Cherry Spray,LostChe_SP,spray,6,1,280.00,280.00,paid,
INV-0150,2026-06-27,Fair3,Dunhil desire,DunDes,roll-on,6,1,250.00,250.00,paid,
INV-0138,2026-06-27,Fair3,Good Girl Spray,GooGir_SP,spray,6,1,330.00,330.00,paid,
INV-0158,2026-06-27,Fair3,Fantasy,Fant,roll-on,3.5,1,120.00,120.00,paid,
INV-0136,2026-06-27,Fair3,Chocolate,CoCo,roll-on,3.5,1,130.00,130.00,paid,
INV-0148,2026-06-27,Fair3,Armanis.w.y,ArmWy,roll-on,3.5,1,120.00,120.00,paid,
INV-0134,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0154,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0132,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0146,2026-06-27,Fair3,Diptyque tam dao,DipTam,roll-on,3.5,1,170.00,170.00,paid,
INV-0144,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0130,2026-06-27,Fair3,Good Girl,GooGir,roll-on,3.5,1,150.00,150.00,paid,
INV-0159,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0157,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0153,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0145,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0129,2026-06-27,Fair3,Chocolate,CoCo,roll-on,3.5,1,120.00,120.00,paid,
INV-0236,2026-06-27,Fair4,Pure Seduction,PuSD,roll-on,3.5,1,120.00,120.00,paid,
INV-0232,2026-06-27,Fair4,Dior Sauvage,DioSau,roll-on,3.5,1,180.00,180.00,paid,
INV-0244,2026-06-27,Fair5,Aqua DI Gio,AquGio,roll-on,3.5,1,180.00,180.00,paid,
INV-0238,2026-06-27,Fair4,Pure Seduction,PuSD,roll-on,3.5,1,120.00,120.00,paid,
INV-0228,2026-06-27,Fair4,Dior Sauvage,DioSau,roll-on,3.5,1,180.00,180.00,paid,
INV-0246,2026-06-27,Fair5,Vanila,Vanil,roll-on,3.5,1,180.00,180.00,paid,
INV-0234,2026-06-27,Fair4,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0250,2026-06-27,August,Davidoff Cool Water,DavCoo,roll-on,3.5,1,140.00,140.00,paid,
INV-0230,2026-06-27,Fair4,Vampire B. Spray,VampB_SP,spray,6,1,330.00,330.00,paid,
INV-0242,2026-06-27,Fair5,Fantasy Spray,Fant_2_SP,spray,6,1,300.00,300.00,paid,
INV-0223,2026-06-27,Fair4,Gucci Flora,GucFla,roll-on,6,1,260.00,260.00,paid,
INV-0226,2026-06-27,Fair4,kacha beli,KacBel,roll-on,3.5,1,130.00,130.00,paid,
INV-0247,2026-06-27,Fair5,Ameer Al oud,AmeOud,roll-on,3.5,1,180.00,180.00,paid,
INV-0237,2026-06-27,Fair4,Chanel chance,ChaCha,roll-on,3.5,1,120.00,120.00,paid,
INV-0251,2026-06-27,August,Davidoff Cool Water,DavCoo,roll-on,3.5,1,110.00,110.00,paid,
INV-0235,2026-06-27,Fair4,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0245,2026-06-27,Fair5,Aqua DI Gio,AquGio,roll-on,3.5,1,180.00,180.00,paid,
INV-0233,2026-06-27,Fair4,LOST Cherry,LostChe,roll-on,3.5,1,150.00,150.00,paid,
INV-0254,2026-06-27,August,Gucci Flora Spray,GucFla_SP,spray,6,1,330.00,330.00,paid,
INV-0231,2026-06-27,Fair4,Dunhill Icon,DunIco,roll-on,3.5,1,200.00,200.00,paid,
INV-0243,2026-06-27,Fair5,Aqua DI Gio,AquGio,roll-on,6,1,250.00,250.00,paid,
INV-0229,2026-06-27,Fair4,Dior Sauvage,DioSau,roll-on,3.5,1,180.00,180.00,paid,
INV-0249,2026-06-27,Fair5,Good Girl Spray,GooGir_SP,spray,6,1,300.00,300.00,paid,
INV-0227,2026-06-27,Fair4,Dunhil desire,DunDes,roll-on,3.5,1,150.00,150.00,paid,
INV-0241,2026-06-27,Fair5,Burberry Her,BurH,roll-on,3.5,1,170.00,170.00,paid,
INV-0239,2026-06-27,Fair4,LOST Cherry,LostChe,roll-on,3.5,1,150.00,150.00,paid,
INV-0225,2026-06-27,Fair4,Burberry Her,BurH,roll-on,3.5,1,180.00,180.00,paid,
INV-0222,2026-06-27,Fair4,Dior Sauvage,DioSau,roll-on,6,1,260.00,260.00,paid,
INV-0252,2026-06-27,August,Blue berry,BluBer,roll-on,3.5,1,100.00,100.00,paid,
INV-0248,2026-06-27,Fair5,LOST Cherry,LostChe,roll-on,3.5,1,150.00,150.00,paid,
INV-0240,2026-06-27,Fair4,LOST Cherry,LostChe,roll-on,3.5,1,150.00,150.00,paid,
INV-0224,2026-06-27,Fair4,LOST Cherry,LostChe,roll-on,6,1,230.00,230.00,paid,
INV-0204,2026-06-27,Fair4,LOST Cherry,LostChe,roll-on,3.5,1,150.00,150.00,paid,
INV-0200,2026-06-27,Fair4,Chanel chance,ChaCha,roll-on,6,1,270.00,270.00,paid,
INV-0212,2026-06-27,Fair4,Vampire B.,VampB,roll-on,6,1,300.00,300.00,paid,
INV-0206,2026-06-27,Fair4,Vampire B.,VampB,roll-on,6,1,300.00,300.00,paid,
INV-0196,2026-06-27,Fair4,Good Girl,GooGir,roll-on,3.5,1,180.00,180.00,paid,
INV-0214,2026-06-27,Fair4,Gucci Flora,GucFla,roll-on,3.5,1,180.00,180.00,paid,
INV-0202,2026-06-27,Fair4,Prada Candy,PRCn,roll-on,6,1,330.00,330.00,paid,
INV-0218,2026-06-27,Fair4,Dior Sauvage,DioSau,roll-on,6,1,260.00,260.00,paid,
INV-0198,2026-06-27,Fair4,Burberry Her,BurH,roll-on,3.5,1,180.00,180.00,paid,
INV-0210,2026-06-27,Fair4,LOST Cherry,LostChe,roll-on,3.5,1,150.00,150.00,paid,
INV-0207,2026-06-27,Fair4,Creed Aventus,CreAve,roll-on,6,1,240.00,240.00,paid,
INV-0194,2026-06-27,Fair4,SRK Spray,SR_SP,spray,6,1,380.00,380.00,paid,
INV-0215,2026-06-27,Fair4,Vampire B.,VampB,roll-on,3.5,1,200.00,200.00,paid,
INV-0205,2026-06-27,Fair4,Vampire B.,VampB,roll-on,6,1,300.00,300.00,paid,
INV-0219,2026-06-27,Fair4,LOST Cherry,LostChe,roll-on,6,1,250.00,250.00,paid,
INV-0203,2026-06-27,Fair4,Good Girl,GooGir,roll-on,6,1,270.00,270.00,paid,
INV-0213,2026-06-27,Fair4,Ultra male,UltMal,roll-on,6,1,250.00,250.00,paid,
INV-0201,2026-06-27,Fair4,Miss Dior,MisDio,roll-on,3.5,1,180.00,180.00,paid,
INV-0221,2026-06-27,Fair4,Gucci Flora,GucFla,roll-on,6,1,180.00,180.00,paid,
INV-0199,2026-06-27,Fair4,LOST Cherry,LostChe,roll-on,6,1,250.00,250.00,paid,
INV-0211,2026-06-27,Fair4,Creed Aventus,CreAve,roll-on,3.5,1,150.00,150.00,paid,
INV-0197,2026-06-27,Fair4,Good Girl,GooGir,roll-on,3.5,1,180.00,180.00,paid,
INV-0217,2026-06-27,Fair4,Gucci Flora,GucFla,roll-on,3.5,1,170.00,170.00,paid,
INV-0195,2026-06-27,Fair4,Good Girl,GooGir,roll-on,6,1,270.00,270.00,paid,
INV-0209,2026-06-27,Fair4,Armanis.w.y,ArmWy,roll-on,3.5,1,150.00,150.00,paid,
INV-0191,2026-06-27,Fair4,LOST Cherry,LostChe,roll-on,6,1,250.00,250.00,paid,
INV-0193,2026-06-27,Fair4,Burberry Her,BurH,roll-on,6,1,330.00,330.00,paid,
INV-0220,2026-06-27,Fair4,Armanis.w.y,ArmWy,roll-on,6,1,250.00,250.00,paid,
INV-0216,2026-06-27,Fair4,LOST Cherry,LostChe,roll-on,3.5,1,140.00,140.00,paid,
INV-0208,2026-06-27,Fair4,Dior Sauvage,DioSau,roll-on,3.5,1,170.00,170.00,paid,
INV-0192,2026-06-27,Fair4,Aqua DI Gio,AquGio,roll-on,3.5,1,180.00,180.00,paid,
INV-0046,2026-06-27,Fair2,Dior Sauvage Spray,DioSau_SP,spray,6,1,300.00,300.00,paid,
INV-0042,2026-06-27,Fair2,Gucci Flora,GucFla,roll-on,3.5,1,150.00,150.00,paid,
INV-0054,2026-06-27,Fair2,Fantasy,Fant,roll-on,3.5,1,120.00,120.00,paid,
INV-0048,2026-06-27,Fair2,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0038,2026-06-27,Fair2,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0056,2026-06-27,Fair2,Miss Dior,MisDio,roll-on,3.5,1,150.00,150.00,paid,
INV-0044,2026-06-27,Fair2,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0060,2026-06-27,Fair2,Blue berry,BluBer,roll-on,3.5,1,110.00,110.00,paid,
INV-0040,2026-06-27,Fair2,Red Tobaco,RedTob,roll-on,3.5,1,120.00,120.00,paid,
INV-0052,2026-06-27,Fair2,Good Girl,GooGir,roll-on,3.5,1,150.00,150.00,paid,
INV-0033,2026-06-27,Fair2,Vampire B.,VampB,roll-on,15,1,750.00,750.00,paid,
INV-0036,2026-06-27,Fair2,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0057,2026-06-27,Fair2,Vampire B. Spray,VampB_SP,spray,6,1,350.00,350.00,paid,
INV-0047,2026-06-27,Fair2,Luxe Special Spray,LUXE1_SP,spray,15,1,170.00,170.00,paid,
INV-0061,2026-06-27,Fair2,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0045,2026-06-27,Fair2,Aqua DI Gio,AquGio,roll-on,3.5,1,150.00,150.00,paid,
INV-0055,2026-06-27,Fair2,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0043,2026-06-27,Fair2,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0063,2026-06-27,Fair2,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0041,2026-06-27,Fair2,Vanila,Vanil,roll-on,3.5,1,140.00,140.00,paid,
INV-0053,2026-06-27,Fair2,Gucci Flora,GucFla,roll-on,3.5,1,150.00,150.00,paid,
INV-0039,2026-06-27,Fair2,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0059,2026-06-27,Fair2,Good Girl,GooGir,roll-on,3.5,1,140.00,140.00,paid,
INV-0037,2026-06-27,Fair2,Davidoff Cool Water,DavCoo,roll-on,3.5,1,140.00,140.00,paid,
INV-0051,2026-06-27,Fair2,Good Girl,GooGir,roll-on,3.5,1,150.00,150.00,paid,
INV-0049,2026-06-27,Fair2,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0035,2026-06-27,Fair2,Gucci Flora,GucFla,roll-on,3.5,1,150.00,150.00,paid,
INV-0032,2026-06-27,Fair2,Fantasy,Fant,roll-on,3.5,1,120.00,120.00,paid,
INV-0062,2026-06-27,Fair2,Gucci Flora,GucFla,roll-on,3.5,1,150.00,150.00,paid,
INV-0058,2026-06-27,Fair2,Dior Sauvage,DioSau,roll-on,3.5,1,130.00,130.00,paid,
INV-0050,2026-06-27,Fair2,LOST Cherry Spray,LostChe_SP,spray,6,1,300.00,300.00,paid,
INV-0034,2026-06-27,Fair2,Gucci Flora,GucFla,roll-on,3.5,1,140.00,140.00,paid,
INV-0014,2026-06-27,Fair1,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0010,2026-06-27,Fair1,Fantasy,Fant,roll-on,6,1,230.00,230.00,paid,
INV-0022,2026-06-27,Fair1,Creed Aventus,CreAve,roll-on,3.5,1,120.00,120.00,paid,
INV-0016,2026-06-27,Fair1,Versace EROS,VerEros,roll-on,3.5,1,110.00,110.00,paid,
INV-0006,2026-06-27,Fair1,Vampire B.,VampB,roll-on,6,1,300.00,300.00,paid,
INV-0024,2026-06-27,Fair1,Fantasy Spray,Fant_SP,spray,6,1,300.00,300.00,paid,
INV-0012,2026-06-27,Fair1,Ultra male,UltMal,roll-on,3.5,1,100.00,100.00,paid,
INV-0028,2026-06-27,Fair2,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0008,2026-06-27,Fair1,Blue de Chanel,BluCha,roll-on,3.5,1,140.00,140.00,paid,
INV-0020,2026-06-27,Fair1,Dunhil desire,DunDes,roll-on,3.5,1,120.00,120.00,paid,
INV-0001,2026-06-27,Fair1,Versace EROS,VerEros,roll-on,3.5,1,100.00,100.00,paid,
INV-0004,2026-06-27,Fair1,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0025,2026-06-27,Fair2,victoriya secret,VicSec,roll-on,3.5,1,120.00,120.00,paid,
INV-0015,2026-06-27,Fair1,Dunhil desire,DunDes,roll-on,3.5,1,120.00,120.00,paid,
INV-0029,2026-06-27,Fair2,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0013,2026-06-27,Fair1,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0023,2026-06-27,Fair1,Vanila Spray,Vanil_SP,spray,6,1,320.00,320.00,paid,
INV-0011,2026-06-27,Fair1,Blue berry,BluBer,roll-on,3.5,1,110.00,110.00,paid,
INV-0031,2026-06-27,Fair2,kacha beli,KacBel,roll-on,3.5,1,120.00,120.00,paid,
INV-0009,2026-06-27,Fair1,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0021,2026-06-27,Fair1,Fantasy,Fant,roll-on,3.5,1,120.00,120.00,paid,
INV-0007,2026-06-27,Fair1,Vampire B.,VampB,roll-on,6,1,280.00,280.00,paid,
INV-0027,2026-06-27,Fair2,Aqua DI Gio,AquGio,roll-on,3.5,1,150.00,150.00,paid,
INV-0005,2026-06-27,Fair1,Armanis.w.y Spray,ArmWy_SP,spray,6,1,280.00,280.00,paid,
INV-0019,2026-06-27,Fair1,victoriya secret Spray,VicSec_SP,spray,6,1,330.00,330.00,paid,
INV-0017,2026-06-27,Fair1,Versace EROS,VerEros,roll-on,3.5,1,110.00,110.00,paid,
INV-0003,2026-06-27,Fair1,Dunhill Icon,DunIco_2,roll-on,3.5,1,140.00,140.00,paid,
INV-0064,2026-06-27,Fair2,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0030,2026-06-27,Fair2,Good Girl,GooGir,roll-on,3.5,1,150.00,150.00,paid,
INV-0026,2026-06-27,Fair2,Vampire B. Spray,VampB_SP,spray,6,1,350.00,350.00,paid,
INV-0018,2026-06-27,Fair1,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0002,2026-06-27,Fair1,Blue berry,BluBer,roll-on,3.5,1,100.00,100.00,paid,
INV-0109,2026-06-27,Fair3,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0105,2026-06-27,Fair3,Creed Aventus,CreAve,roll-on,3.5,1,120.00,120.00,paid,
INV-0117,2026-06-27,Fair3,Fantasy,Fant,roll-on,3.5,1,120.00,120.00,paid,
